168,87
911,800
734,19
829,495
724,312
520,383
137,485
700,211
295,600
310,255
16,916
918,822
177,722
439,650
349,399
807,317
674,778
104,928
60,636
742,28
527,483
797,855
502,647
688,600
538,127
963,787
820,259
202,9
913,93
520,288
583,623
657,601
671,74
933,567
627,488
437,91
741,704
258,129
770,13
229,613
59,263
514,278
316,793
199,368
539,838
162,286
647,357
239,449
408,790
567,879
874,22
908,653
773,355
716,195
128,574
799,387
153,811
434,344
108,675
793,13
333,332
774,658
375,739
702,335
992,903
488,891
29,881
886,964
60,664
40,510
755,503
851,686
313,439
999,227
344,321
819,403
533,374
905,803
140,691
874,79
344,908
256,631
225,679
141,585
933,177
312,241
247,632
663,72
274,536
269,240
732,115
479,836
502,828
548,385
312,586
275,705
382,713
214,122
540,414
640,157
705,467
45,584
519,782
451,604
646,328
326,180
642,425
907,636
974,27
357,294
983,221
128,197
942,48
237,772
361,84
740,305
660,613
835,437
417,353
935,409
48,5
722,49
328,361
149,957
756,781
514,277
7,203
129,92
759,369
650,562
236,299
57,357
399,855
507,982
68,893
631,348
205,133
728,117
678,169
959,969
324,123
763,855
316,502
813,959
798,375
83,95
975,616
549,977
716,515
543,380
28,144
899,21
619,488
266,282
98,720
681,256
517,40
725,452
852,71
120,4
808,259
325,215
853,581
652,100
237,441
890,518
664,43
39,906
324,714
569,489
167,880
777,587
795,853
486,10
375,790
224,748
537,689
854,118
548,649
154,777
96,225
951,144
358,785
507,770
696,121
63,669
81,559
602,773
511,514
451,596
719,514
382,562
234,778
280,479
971,30
921,346
49,901
734,885
553,997
62,853
457,969
317,972
447,529
612,477
66,532
304,883
715,525
270,804
93,166
736,616
531,606
178,389
116,273
628,521
99,450
214,455
841,59
162,250
291,880
903,311
58,539
501,878
626,427
280,653
765,466
701,836
529,579
54,282
792,927
470,236
814,574
430,705
95,323
38,704
455,604
719,681
331,541
320,970
737,307
740,642
666,137
510,937
235,299
543,852
456,133
671,153
12,640
432,266
816,840
698,399
45,603
737,715
995,968
262,96
838,616
865,576
192,403
184,369
423,897
867,533
925,163
798,343
137,381
515,882
364,946
111,167
705,108
821,379
197,678
944,295
357,711
114,910
279,269
707,287
447,881
463,832
456,920
818,421
617,829
741,559
133,701
594,307
492,896
127,225
219,314
682,893
219,360
80,569
693,510
740,749
281,263
116,41
651,943
629,41
74,998
525,86
15,103
309,559
311,459
980,750
484,554
113,626
187,326
374,45
41,137
93,289
43,349
406,653
486,350
817,387
417,224
342,365
160,438
23,766
292,318
875,358
198,992
956,332
889,561
753,443
267,527
225,923
726,980
760,283
358,713
363,272
242,130
386,685
418,627
946,701
10,874
109,151
206,822
228,261
295,706
558,819
709,558
489,495
189,692
895,190
204,524
563,48
207,241
450,18
422,431
782,229
994,946
84,333
324,259
723,626
22,373
158,952
862,250
816,365
440,442
35,883
904,446
21,770
810,761
542,583
517,719
229,391
181,416
376,885
412,213
151,478
683,117
666,434
83,30
983,213
36,788
575,6
764,292
230,519
384,769
104,361
523,283
920,551
589,394
672,365
373,982
810,292
990,386
372,766
651,898
293,197
505,310
885,505
956,774
51,516
756,597
463,747
193,948
143,694
448,194
280,832
296,908
417,4
939,57
223,643
367,601
451,653
960,745
975,356
